DataHora,Satelite,Pais,Estado,Municipio,Bioma,DiaSemChuva,Precipitacao,RiscoFogo,Latitude,Longitude,FRP
2020/11/01 20:55:07,GOES-16,Brasil,PARÁ,ALTAMIRA,Amazônia,0,0.0,0.1,-3.41,-52.06,
2020/11/01 20:25:06,GOES-16,Brasil,PARÁ,ALTAMIRA,Amazônia,0,0.0,0.0,-3.39,-52.06,
2020/11/01 20:25:06,GOES-16,Brasil,PARÁ,ALTAMIRA,Amazônia,0,0.0,0.1,-3.41,-52.06,
2020/11/01 18:25:02,GOES-16,Brasil,PARÁ,ALTAMIRA,Amazônia,0,0.1,0.6,-4.17,-53.59,
2020/11/01 17:55:07,GOES-16,Brasil,PARÁ,ALTAMIRA,Amazônia,0,0.0,0.1,-3.39,-52.08,
2020/11/01 18:35:01,GOES-16,Brasil,PARÁ,ALTAMIRA,Amazônia,0,0.0,0.1,-4.19,-53.58,
2020/11/01 17:55:07,GOES-16,Brasil,PARÁ,ALTAMIRA,Amazônia,0,0.0,0.0,-3.39,-52.06,
2020/11/01 20:15:07,GOES-16,Brasil,PARÁ,ALTAMIRA,Amazônia,0,0.0,0.0,-3.39,-52.06,
2020/11/01 20:05:06,GOES-16,Brasil,PARÁ,ALTAMIRA,Amazônia,0,0.0,0.1,-3.41,-52.06,
2020/11/01 20:05:06,GOES-16,Brasil,PARÁ,ALTAMIRA,Amazônia,0,0.0,0.0,-3.39,-52.06,
2020/11/01 19:55:08,GOES-16,Brasil,PARÁ,ALTAMIRA,Amazônia,0,0.0,0.0,-3.39,-52.06,
2020/11/01 19:45:07,GOES-16,Brasil,PARÁ,ALTAMIRA,Amazônia,0,0.0,0.0,-3.39,-52.06,
2020/11/01 19:55:05,GOES-16,Brasil,PARÁ,ALTAMIRA,Amazônia,0,0.0,0.1,-3.41,-52.06,
2020/08/26 23:14:37,GOES-16,Brasil,PARÁ,ALTAMIRA,Amazônia,83,0.0,1.0,-7.75,-54.76,
2020/08/26 23:54:38,GOES-16,Brasil,PARÁ,ALTAMIRA,Amazônia,83,0.0,1.0,-7.74,-54.76,
2020/08/26 23:54:38,GOES-16,Brasil,PARÁ,ALTAMIRA,Amazônia,83,0.0,1.0,-7.75,-54.78,
2020/08/26 23:34:38,GOES-16,Brasil,PARÁ,ALTAMIRA,Amazônia,83,0.0,1.0,-7.75,-54.76,
2020/08/26 23:34:38,GOES-16,Brasil,PARÁ,ALTAMIRA,Amazônia,83,0.0,1.0,-7.75,-54.78,
2020/08/26 23:34:38,GOES-16,Brasil,PARÁ,ALTAMIRA,Amazônia,83,0.0,1.0,-7.74,-54.79,
