"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"03/01/2020";"1700";"23,9";"24,1";"23,5";"95,0";"97,0";"94,0";"23,0";"23,4";"22,8";"991,6";"992,7";"991,6";"1,0";"329,0";"3,2";"677,00";"0,0"
"03/01/2020";"1800";"24,5";"24,6";"23,8";"93,0";"95,0";"90,0";"23,3";"23,6";"22,6";"990,5";"991,6";"990,5";"0,9";"315,0";"2,6";"720,60";"0,0"
"03/01/2020";"1900";"24,8";"25,0";"24,4";"89,0";"93,0";"84,0";"22,7";"23,2";"22,0";"989,7";"990,5";"989,7";"0,6";"36,0";"2,3";"715,70";"0,0"
"03/01/2020";"2000";"24,9";"24,9";"24,4";"93,0";"94,0";"88,0";"23,6";"23,6";"22,5";"989,0";"989,7";"989,0";"0,8";"356,0";"1,8";"464,30";"0,2"
"03/01/2020";"2100";"24,9";"25,3";"24,8";"93,0";"93,0";"91,0";"23,6";"23,9";"23,4";"989,1";"989,1";"988,6";"0,4";"280,0";"1,6";"343,90";"0,0"
"03/01/2020";"2200";"24,1";"24,9";"24,1";"96,0";"96,0";"92,0";"23,4";"23,7";"23,3";"989,7";"989,7";"989,1";"0,2";"265,0";"0,8";"36,30";"0,0"
"03/01/2020";"2300";"23,6";"24,1";"23,6";"97,0";"97,0";"96,0";"23,1";"23,3";"23,1";"990,9";"990,9";"989,7";"0,3";"256,0";"0,5";"";"0,0"
"04/01/2020";"0000";"23,5";"23,6";"23,4";"97,0";"98,0";"97,0";"23,1";"23,1";"22,9";"991,7";"991,7";"990,9";"0,7";"270,0";"1,1";"";"0,0"
"04/01/2020";"0100";"23,6";"23,7";"23,5";"95,0";"97,0";"95,0";"22,9";"23,1";"22,9";"992,5";"992,5";"991,7";"0,8";"263,0";"1,7";"";"0,0"
"04/01/2020";"0200";"23,3";"23,6";"23,3";"97,0";"97,0";"95,0";"22,8";"22,9";"22,7";"992,9";"993,2";"992,5";"0,7";"277,0";"1,3";"";"0,0"
"04/01/2020";"0300";"23,1";"23,4";"23,1";"98,0";"98,0";"97,0";"22,7";"22,9";"22,7";"993,0";"993,1";"992,8";"0,2";"215,0";"1,1";"";"0,0"
"04/01/2020";"0400";"23,2";"23,2";"23,1";"98,0";"98,0";"98,0";"22,8";"22,8";"22,7";"992,5";"993,0";"992,5";"0,8";"279,0";"1,3";"";"0,2"
"04/01/2020";"0500";"23,1";"23,2";"23,1";"98,0";"98,0";"98,0";"22,8";"22,8";"22,7";"991,7";"992,5";"991,7";"0,2";"217,0";"1,3";"";"0,0"
"04/01/2020";"0600";"23,1";"23,1";"23,0";"98,0";"98,0";"98,0";"22,7";"22,8";"22,7";"991,2";"991,7";"991,2";"0,7";"260,0";"1,0";"";"0,0"
"04/01/2020";"0700";"22,9";"23,1";"22,9";"98,0";"98,0";"98,0";"22,6";"22,7";"22,6";"990,9";"991,2";"990,9";"0,2";"184,0";"1,2";"";"0,2"
"04/01/2020";"0800";"22,9";"22,9";"22,8";"98,0";"98,0";"98,0";"22,5";"22,6";"22,5";"990,9";"991,0";"990,9";"0,3";"123,0";"0,8";"";"0,0"
"04/01/2020";"0900";"22,7";"22,9";"22,7";"98,0";"98,0";"98,0";"22,4";"22,6";"22,3";"991,2";"991,2";"990,9";"0,2";"246,0";"0,7";"";"0,0"
"04/01/2020";"1000";"22,8";"22,8";"22,6";"98,0";"98,0";"98,0";"22,5";"22,5";"22,3";"991,7";"991,7";"991,2";"0,3";"253,0";"0,9";"48,10";"0,0"
"04/01/2020";"1100";"23,6";"23,7";"22,8";"97,0";"98,0";"97,0";"23,0";"23,2";"22,5";"992,6";"992,6";"991,7";"0,3";"312,0";"0,8";"242,90";"0,0"
"04/01/2020";"1200";"25,7";"25,9";"23,6";"90,0";"97,0";"89,0";"24,0";"24,3";"22,9";"993,2";"993,2";"992,6";"0,5";"293,0";"1,1";"838,40";"0,0"
"04/01/2020";"1300";"27,0";"27,0";"25,7";"87,0";"91,0";"81,0";"24,6";"24,9";"23,1";"993,6";"993,7";"993,2";"1,0";"321,0";"1,8";"1448,40";"0,2"
"04/01/2020";"1400";"26,3";"27,0";"25,8";"85,0";"89,0";"83,0";"23,6";"24,6";"23,2";"993,0";"993,6";"993,0";"1,1";"329,0";"2,5";"1033,40";"0,0"
"04/01/2020";"1500";"27,5";"28,0";"26,0";"79,0";"90,0";"77,0";"23,6";"24,7";"23,4";"992,5";"993,0";"992,5";"1,1";"25,0";"3,0";"1917,30";"0,0"
"04/01/2020";"1600";"28,9";"29,0";"27,2";"74,0";"86,0";"72,0";"23,8";"25,4";"22,9";"991,1";"992,5";"991,1";"0,6";"56,0";"2,9";"2059,00";"0,0"
"04/01/2020";"1700";"26,6";"28,9";"26,2";"90,0";"91,0";"71,0";"24,9";"25,7";"22,9";"990,0";"991,1";"990,0";"0,8";"61,0";"2,1";"1030,20";"1,4"
"04/01/2020";"1800";"29,0";"29,3";"26,5";"72,0";"92,0";"70,0";"23,5";"25,6";"23,0";"988,4";"990,0";"988,4";"1,1";"30,0";"2,4";"630,30";"0,2"
"04/01/2020";"1900";"29,2";"29,3";"28,3";"70,0";"79,0";"69,0";"23,3";"24,8";"23,0";"987,5";"988,4";"987,5";"0,7";"28,0";"2,7";"426,50";"0,0"
"04/01/2020";"2000";"29,6";"29,6";"28,5";"69,0";"76,0";"68,0";"23,3";"24,1";"22,8";"987,4";"987,5";"987,3";"0,7";"345,0";"2,0";"384,70";"0,0"
"04/01/2020";"2100";"25,5";"29,6";"24,9";"90,0";"95,0";"68,0";"23,8";"24,3";"23,1";"987,9";"987,9";"987,4";"0,3";"253,0";"7,0";"274,50";"5,8"
"04/01/2020";"2200";"25,2";"25,6";"25,2";"95,0";"95,0";"88,0";"24,3";"24,5";"23,4";"988,7";"988,7";"987,9";"1,0";"300,0";"1,4";"26,50";"0,0"
"04/01/2020";"2300";"24,9";"25,3";"24,8";"95,0";"96,0";"93,0";"24,0";"24,4";"24,0";"989,8";"989,8";"988,7";"1,1";"296,0";"3,5";"";"0,4"
"05/01/2020";"0000";"24,5";"24,9";"24,4";"92,0";"95,0";"91,0";"23,2";"24,0";"23,1";"990,5";"990,5";"989,7";"0,2";"6,0";"2,3";"";"0,0"
"05/01/2020";"0100";"24,7";"24,7";"24,3";"93,0";"96,0";"92,0";"23,5";"23,8";"23,2";"990,9";"991,0";"990,5";"1,2";"5,0";"3,5";"";"0,0"
"05/01/2020";"0200";"24,3";"24,7";"24,3";"94,0";"94,0";"92,0";"23,3";"23,5";"23,1";"990,9";"991,0";"990,9";"0,9";"346,0";"3,5";"";"0,0"
"05/01/2020";"0300";"24,0";"24,3";"24,0";"96,0";"96,0";"94,0";"23,4";"23,4";"23,3";"990,6";"991,0";"990,6";"1,2";"346,0";"2,2";"";"0,0"
"05/01/2020";"0400";"24,1";"24,2";"24,0";"96,0";"96,0";"95,0";"23,4";"23,4";"23,3";"990,6";"990,6";"990,5";"1,1";"1,0";"2,4";"";"0,2"
